objects,on_time,off_time,notes
lamp,5:00,20:45,sunrise and sunset
wb1b,5:30,23:00,this window has to remain open the entire time so that the ac can be effective
ac,5:30,7:30,it's a Sunday and the family is having brunch and then going to the movies later
db1b,9:00,9:10,parent 1 wakes up and uses the bathroom 
wb1l,9:10,11:00,
ac,8:00,10:00,
db1b,9:30,10:30,parent 2 wakes up and uses the bathroom
db2b,10:00,11:00,parents wake the kids up
wb2b,10:05,11:00,
wb2r,10:06,11:00,
dlo,11:05,11:10,family leaves to brunch
ac,11:00,12:00,
ac,13:00,14:30,family comes back from brunch
db1l,13:30,13:32,parent 1 takes a nap
dlk,14:30,20:00,parent 2 prepares a late lunch
ac,15:30,18:00,
dlb,16:00,18:00,kids play in their room
db2b,16:02,18:00,
wb2r,16:05,18:00,
wb2b,16:05,18:00,
db1l,18:00,19:20,parent 1 wakes up from the nap
db1l,19:20,20:00,parents got ready for the movies
dlb,19:20,20:00,kids got ready
db2b,19:20,20:00,
dlo,20:10,20:15,family leaves to the movies
ac,20:30,23:00,
dlo,22:45,22:50,family is back
dlb,23:10,23:30,family gets ready for bed
db2b,23:20,23:23,
db1b,23:25,23:30,
motor1,6:00,6:09,first stop
motor2,6:00,6:01,
motor1,7:00,7:09,second
motor2,7:00,7:01,
motor1,8:00,8:09,third
motor2,8:00,8:01,
motor1,9:00,9:09,fourth
motor2,9:00,9:01,
motor1,10:00,10:09,fifth
motor2,10:00,10:01,
motor1,11:00,11:09,sixth
motor2,11:00,11:01,
motor1,12:00,12:09,seventh
motor2,12:00,12:01,
motor1,13:00,13:09,eighth
motor2,13:00,13:01,
motor1,14:00,14:09,ninth
motor2,14:00,14:01,
motor1,15:00,15:09,tenth
motor2,15:00,15:01,
motor1,16:00,16:09,eleventh
motor2,16:00,16:01,
motor1,17:00,17:09,twelfth
motor2,17:00,17:01,
motor1,18:00,18:09,thirteenth
motor2,18:00,18:01,
motor1,19:00,19:09,fourteenth
motor2,19:00,19:01,
motor1,20:00,20:09,fifteenth
motor2,20:00,20:01,
