objects,on_time,off_time,notes
lamp,5:00,20:45,sunrise and sunset
wkf,5:30,23:00,this window has to remain open the entire time so that the ac can be effective
db1b,6:00,6:15,parent 1 has to leave to work early
db1l,6:25,6:27,
dlo,6:30,6:35,parent 1 leaves to work
db1b,7:50,10:00,parent 2 wakes and uses the bathroom
db1l,8:20,10:00,parent 2 is going to prep breakfast
dlk,8:22,10:00,
wkr,8:20,10:00,
dlb,8:43,10:00,
db2b,8:45,10:00,parent 2 wakes the kids up
wb2b,8:45,10:00,
wb2r,8:45,10:00,
wll,9:00,10:00,
wlf,9:00,10:00,
dlo,9:15,9:20,kids leave to school
dlo,10:05,10:08,parent 2 leaves to work
dlo,16:10,16:20,parent 1 comes back with the kids
dlb,16:20,20:00,
db2b,16:25,20:00,kids go change
db1b,16:30,20:00,parent 2 goes to change
dlk,16:40,20:00,parent 1 goes to prep dinner
wkr,16:45,20:00,
db1o,18:00,18:10,parent 1 comes back from work
dlb,22:00,22:30,
db2b,22:00,22:40,
db1b,22:10,23:00,
motor1,6:00,6:11,
motor2,6:00,6:01,
motor1,7:00,7:11,
motor2,7:00,7:01,
motor1,8:00,8:11,
motor2,8:00,8:01,
motor1,9:00,9:11,
motor2,9:00,9:01,
motor1,10:00,10:11,
motor2,10:00,10:01,
motor1,11:00,11:11,
motor2,11:00,11:01,
motor1,12:00,12:11,
motor2,12:00,12:01,
motor1,13:00,13:11,
motor2,13:00,13:01,
motor1,14:00,14:11,
motor2,14:00,14:01,
motor1,15:00,15:11,
motor2,15:00,15:01,
motor1,16:00,16:11,
motor2,16:00,16:01,
motor1,17:00,17:11,
motor2,17:00,17:01,
motor1,18:00,18:11,
motor2,18:00,18:01,
motor1,19:00,19:11,
motor2,19:00,19:01,
motor1,20:00,20:11,
motor2,20:00,20:01,
ac,5:20,6:00,
ac,7:00,8:00,
ac,9:00,10:00,
ac,12:00,1:00,
ac,15:00,17:00,
ac,18:00,19:00,
ac,20:00,21:00,
ac,22:00,23:00,
