objects,on_time,off_time,notes
lamp,5:00,20:45,sunrise and sunset
wkf,5:25,23:00,this window needs be open the entire time so that the ac can be effective
ac,5:30,7:30,
db1b,6:30,7:00,parent 1 wakes up and takes a shower
wb1l,7:10,10:00,
db1b,7:20,7:50,parent 2 wakes up and takes a shower
db1l,8:00,10:00,
dlk,8:10,10:00,parent 1 goes to prep breakfast
wkr,8:20,10:00,
db2b,8:25,10:00,parent 2 wakes the kids up
wb2b,8:30,10:00,
wb2r,8:30,10:00,
wll,8:40,10:00,parent 1 opens living room windows
wlf,8:42,10:00,
dlo,9:15,9:20,kids leave for school
ac,8:00,10:00,parents leave for work at 10
ac,16:00,18:00,parent 1 and the kids come back home
dlo,16:10,16:20,
dlb,16:20,20:00,kids go change
db2b,16:25,20:00,
db1b,16:30,20:00,parent changes and then goes to the kitchen
db1l,16:35,20:00,
dlk,16:50,20:00,
wkr,17:05,20:00,
wb2b,17:30,20:00,kids go do their HW
wb2r,17:35,20:00,
db1o,18:00,18:10,parent 2 comes back from work
ac,19:00,21:00,family had dinner and will be in the living room at 20:00
dlb,22:00,22:30,
db2b,22:00,22:40,
motor1,6:00,6:10,first stop
motor2,6:00,6:02,
motor1,7:00,7:10,second
motor2,7:00,7:02,
motor1,8:00,8:10,third
motor2,8:00,8:02,
motor1,9:00,9:10,fourth
motor2,9:00,9:02,
motor1,10:00,10:10,fifth
motor2,10:00,10:02,
motor1,11:00,11:10,sixth
motor2,11:00,11:02,
motor1,12:00,12:10,seventh
motor2,12:00,12:02,
motor1,13:00,13:10,eighth
motor2,13:00,13:02,
motor1,14:00,14:10,ninth
motor2,14:00,14:02,
motor1,15:00,15:10,tenth
motor2,15:00,15:02,
motor1,16:00,16:10,eleventh
motor2,16:00,16:02,
motor1,17:00,17:10,twelfth
motor2,17:00,17:02,
motor1,18:00,18:10,thirteenth
motor2,18:00,18:02,
motor1,19:00,19:10,fourteenth
motor2,19:00,19:02,
motor1,20:00,20:10,fifteenth
motor2,20:00,20:02,
