objects,on_time,off_time,notes
lamp,5:00,20:45,sunrise and sunset
wb1b,5:30,23:00,this window has to remain open the entire time so that the ac can be effective
dlo,5:20,5:25,parent 1 takes the dog for a walk
dlo,5:45,5:50,parent 1 comes back 
wb1b,5:25,21:00,
db1b,6:00,6:15,parent 1 takes a shower
ac,5:30,7:30,
db1b,6:30,7:00,parent 2 wakes up and takes a shower
ac,8:00,9:00,
db1l,8:00,20:00,"all doors will be left open till the family hangout in the living room, so that the dog can move around the house freely."
dlk,8:10,20:00,parent 1 goes to prep breakfast
wkr,8:20,10:00,
db2b,8:25,20:00,parent 2 wakes the kids up
wb2b,8:30,10:00,
wb2r,8:30,10:00,
wll,8:40,10:00,parent 1 opens living room windows
wlf,8:42,10:00,
dlo,9:15,9:20,kids leave for school
ac,8:00,10:00,parents leave for work at 10
ac,16:00,18:00,parent 1 and the kids come back home
dlo,16:10,16:20,
dlb,16:20,20:00,kids go change
db1b,16:30,20:00,parent changes and then goes to the kitchen
wkr,17:05,20:00,
wb2r,17:35,20:00,
db1o,18:00,18:10,parent 2 comes back from work
ac,19:00,21:00,family had dinner and will be in the living room at 20:00
dlb,22:00,22:30,
db2b,22:00,22:40,
motor1,6:00,6:09,first stop
motor2,6:00,6:01,
motor1,7:00,7:09,second
motor2,7:00,7:01,
motor1,8:00,8:09,third
motor2,8:00,8:01,
motor1,9:00,9:09,fourth
motor2,9:00,9:01,
motor1,10:00,10:09,fifth
motor2,10:00,10:01,
motor1,11:00,11:09,sixth
motor2,11:00,11:01,
motor1,12:00,12:09,seventh
motor2,12:00,12:01,
motor1,13:00,13:09,eighth
motor2,13:00,13:01,
motor1,14:00,14:09,ninth
motor2,14:00,14:01,
motor1,15:00,15:09,tenth
motor2,15:00,15:01,
motor1,16:00,16:09,eleventh
motor2,16:00,16:01,
motor1,17:00,17:09,twelfth
motor2,17:00,17:01,
motor1,18:00,18:09,thirteenth
motor2,18:00,18:01,
motor1,19:00,19:09,fourteenth
motor2,19:00,19:01,
motor1,20:00,20:09,fifteenth
motor2,20:00,20:01,
